id,name,display
1,javascript,JavaScript
2,python,Python
3,java,Java
4,c#,C#
5,php,PHP
6,c++,C++
7,typescript,TypeScript
8,ruby,Ruby
9,swift,Swift
10,go,Go
11,kotlin,Kotlin
12,scala,Scala
13,perl,Perl
14,groovy,Groovy
15,lua,Lua
16,rust,Rust
17,dart,Dart
18,elixir,Elixir
19,clojure,Clojure
20,erlang,Erlang
21,f#,F#
22,haskell,Haskell
23,ocaml,OCaml
24,r,R
25,matlab,MATLAB
26,vba,VBA
27,fortran,Fortran
28,cobol,COBOL
29,pascal,Pascal
30,ada,Ada
31,racket,Racket
32,smalltalk,Smalltalk
33,assembly,Assembly
34,prolog,Prolog
35,bash,Bash
36,lisp,Lisp
37,scheme,Scheme
38,apl,APL
39,julia,Julia
40,objective-c,Objective-C